category," id"," title"," url"," address"," city"," country"," neighborhood"," state"," zip_code","  body_type"," color"," condition"," create_time"," currency"," dealer_phone"," description"," expire_time"," featurs"," fee"," image_url"," interior_color"," ip_address"," make"," mileage"," mileage_units"," model"," price"," registration"," seller_email"," seller_name"," seller_phone"," seller_type"," seller_url"," transmission"," vin"," year"
,,"Certified 2013 Ford F350 4x4 Lariat",,"5445 Drexel Rd","Las Vegas",USA,,NV,89130,truck,BLUE,new,1423919741,usd,1-877-749-1655,"Options Installed
        
        
            4-Wheel ABS
            
        
                
                
            
            
        
            4-Wheel Disc Brakes
            
        
                
                
            
            
        
            A/C
            
        
                
                
            
            
        
            AM/FM Stereo
            
        
                
                
            
            
        
            Adjustable Pedals
            
        
                
                
            
            
        
            Adjustable Steering Wheel
            
        
                
                
            
            
        
            Aluminum Wheels
            
        
                
                
            
            
        
            Auto-Dimming Rearview Mirror
            
        
                
                
            
            
        
            Auto-Off Headlights
            
        
                
                
            
            
        
            Auxiliary Audio Input
            
        
                
                
            
            
        
            Auxiliary Pwr Outlet
            
        
                
                
            
            
        
            Back-Up Camera
            
        
                
                
            
            
        
            Bed Liner
            
        
                
                
            
            
        
            Bluetooth Audio
            
        
                
                
            
            
        
            Bluetooth Connection
            
        
                
                
            
            
        
            Bucket Seats
            
        
                
                
            
            
        
            CD Player
            
        
                
                
            
            
        
            Certified Used Car
            
        
                
                
            
            
        
            Child Safety Locks
            
        
                
                
            
            
        
            Chrome Wheels
            
        
                
                
            
            
        
            Climate Control
            
        
                
                
            
            
        
            Conventional Spare Tire
            
        
                
                
            
            
        
            Cooled Driver Seat
            
        
                
                
            
            
        
            Cooled Passenger Seat
            
        
                
                
            
            
        
            Cruise Control
            
        
                
                
            
            
        
            Diesel fuel
            
        
                
                
            
            
        
            Driver Adjustable Lumbar
            
        
                
                
            
            
        
            Driver Air Bag
            
        
                
                
            
            
        
            Driver Illuminated Vanity Mirror
            
        
                
                
            
            
        
            Driver Vanity Mirror
            
        
                
                
            
            
        
            Flex fuel capability
            
        
                
                
            
            
        
            Fog Lamps
            
        
                
                
            
            
        
            Ford Sync
            
        
                
                
            
            
        
            Four Wheel Drive
            
        
                
                
            
            
        
            Front Head Air Bag
            
        
                
                
            
            
        
            Front Reading Lamps
            
        
                
                
            
            
        
            Front Side Air Bag
            
        
                
                
            
            
        
            Front Tow Hooks
            
        
                
                
            
            
        
            HD Radio
            
        
                
                
            
            
        
            Heated Driver Seat
            
        
                
                
            
            
        
            Heated Mirrors
            
        
                
                
            
            
        
            Heated Passenger Seat
            
        
                
                
            
            
        
            IPod Connectivity
            
        
                
                
            
            
        
            Integrated Turn Signal Mirrors
            
        
                
                
            
            
        
            Intermittent Wipers
            
        
                
                
            
            
        
            Keyless Entry
            
        
                
                
            
            
        
            Leather Seats
            
        
                
                
            
            
        
            Leather Steering Wheel
            
        
                
                
            
            
        
            MP3 Player
            
        
                
                
            
            
        
            Multi-Zone A/C
            
        
                
                
            
            
        
            Navigation from Telematics
            
        
                
                
            
            
        
            Pass-Through Rear Seat
            
        
                
                
            
            
        
            Passenger Adjustable Lumbar
            
        
                
                
            
            
        
            Passenger Air Bag
            
        
                
                
            
            
        
            Passenger Illuminated Visor Mirror
            
        
                
                
            
            
        
            Passenger Vanity Mirror
            
        
                
                
            
            
        
            Power Door Locks
            
        
                
                
            
            
        
            Power Driver Mirror
            
        
                
                
            
            
        
            Power Driver Seat
            
        
                
                
            
            
        
            Power Folding Mirrors
            
        
                
                
            
            
        
            Power Passenger Seat
            
        
                
                
            
            
        
            Power Steering
            
        
                
                
            
            
        
            Power Windows
            
        
                
                
            
            
        
            Premium Sound System
            
        
                
                
            
            
        
            Privacy Glass
            
        
                
                
            
            
        
            Rear Bench Seat
            
        
                
                
            
            
        
            Rear Defrost
            
        
                
                
            
            
        
            Rear Parking Aid
            
        
                
                
            
            
        
            Rear Reading Lamps
            
        
                
                
            
            
        
            Running Boards/Side Steps
            
        
                
                
            
            
        
            Satellite Radio
            
        
                
                
            
            
        
            Seat Memory
            
        
                
                
            
            
        
            Sliding Rear Window
            
        
                
                
            
            
        
            Stability Control
            
        
                
                
            
            
        
            Steering Wheel Audio Controls
            
        
                
                
            
            
        
            Telematics
            
        
                
                
            
            
        
            Tire Pressure Monitor
            
        
                
                
            
            
        
            Tires - Front All-Season
            
        
                
                
            
            
        
            Tires - Rear All-Season
            
        
                
                
            
            
        
            Tow Hitch
            
        
                
                
            
            
        
            Traction Control
            
        
                
                
            
            
        
            Trailer Brake Control
            
        
                
                
            
            
        
            Transmission w/Dual Shift Mode
            
        
                
                
            
            
        
            Trip Computer
            
        
                
                
            
            
        
            Turbocharged
            
        
                
                
            
            
        
            Variable Speed Intermittent Wipers
            
        
                
                
            
            
        
            Vehicle Anti-Theft System
            
        
                
                
            
        
        
        
            
                    Seller's DescriptionPrice does not include applicable tax, title, license, processing and/or documentation fees, dealer add-ons, and destination charges. Price does not include applicable tax, title, license, processing and/or documentation fees, dealer add-ons, and destination charges. This is a Certified Pre-Owned vehicle. This vehicle has a 6.7L V8 engine and an automatic transmission. It includes Ford Sync, Cooled Passenger Seat, Navigation from Telematics, Auxiliary Audio Input, Back-Up Camera, Flex fuel capability, Telematics, Sliding Rear Window, Passenger Illuminated Visor Mirror, Driver Illuminated Vanity Mirror, Auto-Dimming Rearview Mirror, Auto-Off Headlights, Steering Wheel Audio Controls, Privacy Glass, Fog Lamps, Traction Control, Adjustable Steering Wheel, Power Steering, Power Driver Seat, Child Safety Locks, Rear Defrost, Cruise Control, AM/FM Stereo, A/C, Multi-Zone A/C, Climate Control, HD Radio, Heated Driver Seat, Diesel fuel, Turbocharged, Bluetooth Audio, Rear Bench Seat, Power Folding Mirrors, Stability Control, Tire Pressure Monitor, Transmission w/Dual Shift Mode, Passenger Adjustable Lumbar, Driver Adjustable Lumbar, Rear Reading Lamps, Driver Vanity Mirror, Integrated Turn Signal Mirrors, Power Windows, Aluminum Wheels, Tires - Rear All-Season, Tires - Front All-Season, Pass-Through Rear Seat, Power Passenger Seat, Power Driver Mirror, Heated Mirrors, Power Door Locks, Keyless Entry, Four Wheel Drive, Certified Used Car, 4-Wheel Disc Brakes, CD Player, Front Side Air Bag, Driver Air Bag, Bed Liner, Trailer Brake Control, IPod Connectivity, Cooled Driver Seat, Heated Passenger Seat, Bluetooth Connection, Trip Computer, Front Tow Hooks, Tow Hitch, Leather Steering Wheel, Front Reading Lamps, Adjustable Pedals, Rear Parking Aid, Passenger Vanity Mirror, Vehicle Anti-Theft System, Auxiliary Pwr Outlet, Variable Speed Intermittent Wipers, MP3 Player, Satellite Radio, Premium Sound System, Intermittent Wipers, Conventional Spare Tire, Bucket Seats, Leather Seats>
            
        
        
            
                    DisclaimerPrice excludes document preparation charge.",,,"$53,750",http://images.autotrader.com/scaler/300/208/hn/385d2e85206a4a028a253d4ebf28a443.jpg,BLACK,,,"21996 miles
            ",,,"$53,750",,,"Team Ford Lincoln",1-877-749-1655,,,"6 Speed Shiftable Automatic",1FT8W3BT4DEB88167,
,,"Certified 2010 Ford F150 4x4 SVT Raptor",,"5445 Drexel Rd","Las Vegas",USA,,NV,89130,truck,ORANGE,new,1423919743,usd,1-877-749-1655,"Options Installed
        
        
            4-Wheel ABS
            
        
                
                
            
            
        
            4-Wheel Disc Brakes
            
        
                
                
            
            
        
            A/C
            
        
                
                
            
            
        
            AM/FM Stereo
            
        
                
                
            
            
        
            Adjustable Steering Wheel
            
        
                
                
            
            
        
            Aluminum Wheels
            
        
                
                
            
            
        
            Auto-Off Headlights
            
        
                
                
            
            
        
            Auto-On Headlights
            
        
                
                
            
            
        
            Auxiliary Audio Input
            
        
                
                
            
            
        
            Auxiliary Pwr Outlet
            
        
                
                
            
            
        
            Back-Up Camera
            
        
                
                
            
            
        
            Bluetooth Audio
            
        
                
                
            
            
        
            Bluetooth Connection
            
        
                
                
            
            
        
            Bucket Seats
            
        
                
                
            
            
        
            CD Player
            
        
                
                
            
            
        
            Certified Used Car
            
        
                
                
            
            
        
            Child Safety Locks
            
        
                
                
            
            
        
            Climate Control
            
        
                
                
            
            
        
            Conventional Spare Tire
            
        
                
                
            
            
        
            Driver Air Bag
            
        
                
                
            
            
        
            Driver Vanity Mirror
            
        
                
                
            
            
        
            Entertainment System
            
        
                
                
            
            
        
            Flex fuel capability
            
        
                
                
            
            
        
            Four Wheel Drive
            
        
                
                
            
            
        
            Front Head Air Bag
            
        
                
                
            
            
        
            Front Side Air Bag
            
        
                
                
            
            
        
            Front Tow Hooks
            
        
                
                
            
            
        
            Gasoline Fuel
            
        
                
                
            
            
        
            Hard Disk Drive Media Storage
            
        
                
                
            
            
        
            Heated Driver Seat
            
        
                
                
            
            
        
            IPod Connectivity
            
        
                
                
            
            
        
            Intermittent Wipers
            
        
                
                
            
            
        
            Keyless Entry
            
        
                
                
            
            
        
            Leather Seats
            
        
                
                
            
            
        
            Leather Steering Wheel
            
        
                
                
            
            
        
            MP3 Player
            
        
                
                
            
            
        
            Multi-Zone A/C
            
        
                
                
            
            
        
            Navigation System
            
        
                
                
            
            
        
            Pass-Through Rear Seat
            
        
                
                
            
            
        
            Passenger Air Bag
            
        
                
                
            
            
        
            Passenger Air Bag On/off Switch
            
        
                
                
            
            
        
            Passenger Vanity Mirror
            
        
                
                
            
            
        
            Power Door Locks
            
        
                
                
            
            
        
            Power Driver Mirror
            
        
                
                
            
            
        
            Power Driver Seat
            
        
                
                
            
            
        
            Power Passenger Mirror
            
        
                
                
            
            
        
            Power Passenger Seat
            
        
                
                
            
            
        
            Power Steering
            
        
                
                
            
            
        
            Power Windows
            
        
                
                
            
            
        
            Premium Sound System
            
        
                
                
            
            
        
            Privacy Glass
            
        
                
                
            
            
        
            Rear Bench Seat
            
        
                
                
            
            
        
            Rear Defrost
            
        
                
                
            
            
        
            Rear Head Air Bag
            
        
                
                
            
            
        
            Rear Tow Hooks
            
        
                
                
            
            
        
            Running Boards/Side Steps
            
        
                
                
            
            
        
            Satellite Radio
            
        
                
                
            
            
        
            Seat Memory
            
        
                
                
            
            
        
            Sliding Rear Window
            
        
                
                
            
            
        
            Sony Sound
            
        
                
                
            
            
        
            Stability Control
            
        
                
                
            
            
        
            Steering Wheel Audio Controls
            
        
                
                
            
            
        
            Tinted Windows
            
        
                
                
            
            
        
            Tire Pressure Monitor
            
        
                
                
            
            
        
            Tires - Front All-Terrain
            
        
                
                
            
            
        
            Tires - Rear All-Terrain
            
        
                
                
            
            
        
            Traction Control
            
        
                
                
            
            
        
            Trailer Brake Control
            
        
                
                
            
            
        
            Vehicle Anti-Theft System
            
        
                
                
            
        
        
        
            
                    Seller's DescriptionPrice does not include applicable tax, title, license, processing and/or documentation fees, dealer add-ons, and destination charges. Price does not include applicable tax, title, license, processing and/or documentation fees, dealer add-ons, and destination charges. This is a Certified Pre-Owned vehicle. This vehicle has a 5.4L V8 engine and an automatic transmission. It includes Trailer Brake Control, Sony Sound, Bluetooth Audio, IPod Connectivity, Rear Bench Seat, Tire Pressure Monitor, Leather Steering Wheel, Vehicle Anti-Theft System, Power Passenger Mirror, Aluminum Wheels, Conventional Spare Tire, Adjustable Steering Wheel, Power Steering, Running Boards/Side Steps, Power Driver Mirror, Keyless Entry, Rear Defrost, CD Player, A/C, Rear Head Air Bag, Front Head Air Bag, Heated Driver Seat, Gasoline Fuel, Climate Control, Back-Up Camera, Seat Memory, Bluetooth Connection, Sliding Rear Window, Rear Tow Hooks, Driver Vanity Mirror, Auto-Off Headlights, Auxiliary Pwr Outlet, Privacy Glass, Satellite Radio, Power Windows, Tires - Front All-Terrain, Leather Seats, Pass-Through Rear Seat, Power Driver Seat, Four Wheel Drive, 4-Wheel Disc Brakes, Front Side Air Bag, Driver Air Bag, Navigation System, Tinted Windows, Auxiliary Audio Input, Passenger Air Bag On/off Switch, Passenger Air Bag, Hard Disk Drive Media Storage, Premium Sound System, Stability Control, Entertainment System, Flex fuel capability, Front Tow Hooks, Passenger Vanity Mirror, Steering Wheel Audio Controls, MP3 Player, Intermittent Wipers, Traction Control, Tires - Rear All-Terrain, Bucket Seats, Power Door Locks, Auto-On Headlights, Power Passenger Seat, Multi-Zone A/C, Child Safety Locks, 4-Wheel ABS, AM/FM Stereo, and Certified Used Car.
            
        
        
            
                    DisclaimerPrice excludes document preparation charge.",,,"$44,222",http://images.autotrader.com/scaler/300/208/hn/5d2c596ff7c3440e9e15350b1ee385d1.jpg,BLACK,,,"46822 miles
            ",,,"$44,222",,,"Team Ford Lincoln",1-877-749-1655,,,"6 Speed Automatic",1FTEX1EV6AFB70311,
,,"Certified 2012 Ford F150 4x4 Lariat",,"5445 Drexel Rd","Las Vegas",USA,,NV,89130,truck,WHITE,new,1423919744,usd,1-877-749-1655,"Options Installed
        
        
            4-Wheel ABS
            
        
                
                
            
            
        
            4-Wheel Disc Brakes
            
        
                
                
            
            
        
            A/C
            
        
                
                
            
            
        
            AM/FM Stereo
            
        
                
                
            
            
        
            Adjustable Pedals
            
        
                
                
            
            
        
            Adjustable Steering Wheel
            
        
                
                
            
            
        
            Aluminum Wheels
            
        
                
                
            
            
        
            Auto-Dimming Rearview Mirror
            
        
                
                
            
            
        
            Auto-Off Headlights
            
        
                
                
            
            
        
            Auto-On Headlights
            
        
                
                
            
            
        
            Auxiliary Audio Input
            
        
                
                
            
            
        
            Auxiliary Pwr Outlet
            
        
                
                
            
            
        
            Back-Up Camera
            
        
                
                
            
            
        
            Bed Liner
            
        
                
                
            
            
        
            Bluetooth Connection
            
        
                
                
            
            
        
            Bucket Seats
            
        
                
                
            
            
        
            CD Changer
            
        
                
                
            
            
        
            CD Player
            
        
                
                
            
            
        
            Certified Used Car
            
        
                
                
            
            
        
            Climate Control
            
        
                
                
            
            
        
            Conventional Spare Tire
            
        
                
                
            
            
        
            Cooled Driver Seat
            
        
                
                
            
            
        
            Cooled Passenger Seat
            
        
                
                
            
            
        
            Cruise Control
            
        
                
                
            
            
        
            Driver Air Bag
            
        
                
                
            
            
        
            Driver Illuminated Vanity Mirror
            
        
                
                
            
            
        
            Driver Vanity Mirror
            
        
                
                
            
            
        
            Entertainment System
            
        
                
                
            
            
        
            Flex fuel capability
            
        
                
                
            
            
        
            Fog Lamps
            
        
                
                
            
            
        
            Four Wheel Drive
            
        
                
                
            
            
        
            Fourth Passenger Door
            
        
                
                
            
            
        
            Front Head Air Bag
            
        
                
                
            
            
        
            Front Reading Lamps
            
        
                
                
            
            
        
            Front Side Air Bag
            
        
                
                
            
            
        
            Front Tow Hooks
            
        
                
                
            
            
        
            Gasoline Fuel
            
        
                
                
            
            
        
            Heated Driver Seat
            
        
                
                
            
            
        
            Heated Exterior Driver Mirror
            
        
                
                
            
            
        
            Heated Exterior Passenger Mirror
            
        
                
                
            
            
        
            Heated Mirrors
            
        
                
                
            
            
        
            Heated Passenger Seat
            
        
                
                
            
            
        
            HomeLink
            
        
                
                
            
            
        
            IPod Connectivity
            
        
                
                
            
            
        
            Integrated Turn Signal Mirrors
            
        
                
                
            
            
        
            Intermittent Wipers
            
        
                
                
            
            
        
            Keyless Entry
            
        
                
                
            
            
        
            Leather Seats
            
        
                
                
            
            
        
            Leather Steering Wheel
            
        
                
                
            
            
        
            MP3 Player
            
        
                
                
            
            
        
            Mirror Memory
            
        
                
                
            
            
        
            Multi-Zone A/C
            
        
                
                
            
            
        
            Navigation from Telematics
            
        
                
                
            
            
        
            Pass-Through Rear Seat
            
        
                
                
            
            
        
            Passenger Air Bag
            
        
                
                
            
            
        
            Passenger Illuminated Visor Mirror
            
        
                
                
            
            
        
            Passenger Vanity Mirror
            
        
                
                
            
            
        
            Power Door Locks
            
        
                
                
            
            
        
            Power Driver Mirror
            
        
                
                
            
            
        
            Power Driver Seat
            
        
                
                
            
            
        
            Power Folding Mirrors
            
        
                
                
            
            
        
            Power Passenger Mirror
            
        
                
                
            
            
        
            Power Passenger Seat
            
        
                
                
            
            
        
            Power Steering
            
        
                
                
            
            
        
            Power Tilt/Sliding Sunroof
            
        
                
                
            
            
        
            Power Windows
            
        
                
                
            
            
        
            Privacy Glass
            
        
                
                
            
            
        
            Rear Bench Seat
            
        
                
                
            
            
        
            Rear Defrost
            
        
                
                
            
            
        
            Rear Head Air Bag
            
        
                
                
            
            
        
            Rear Parking Aid
            
        
                
                
            
            
        
            Rear Reading Lamps
            
        
                
                
            
            
        
            Running Boards/Side Steps
            
        
                
                
            
            
        
            Satellite Radio
            
        
                
                
            
            
        
            Seat Memory
            
        
                
                
            
            
        
            Sliding Rear Window
            
        
                
                
            
            
        
            Stability Control
            
        
                
                
            
            
        
            Steering Wheel Audio Controls
            
        
                
                
            
            
        
            Telematics
            
        
                
                
            
            
        
            Third Passenger Door
            
        
                
                
            
            
        
            Tinted Windows
            
        
                
                
            
            
        
            Tire Pressure Monitor
            
        
                
                
            
            
        
            Tires - Front All-Terrain
            
        
                
                
            
            
        
            Tires - Rear All-Terrain
            
        
                
                
            
            
        
            Tonneau Cover
            
        
                
                
            
            
        
            Tow Hitch
            
        
                
                
            
            
        
            Traction Control
            
        
                
                
            
            
        
            Trailer Brake Control
            
        
                
                
            
            
        
            Transmission Overdrive Switch
            
        
                
                
            
            
        
            Transmission w/Dual Shift Mode
            
        
                
                
            
            
        
            Trip Computer
            
        
                
                
            
            
        
            Turbocharged
            
        
                
                
            
            
        
            Variable Speed Intermittent Wipers
            
        
                
                
            
            
        
            Vehicle Anti-Theft System
            
        
                
                
            
            
        
            Woodgrain Interior Trim
            
        
                
                
            
        
        
        
            
                    Seller's DescriptionPrice does not include applicable tax, title, license, processing and/or documentation fees, dealer add-ons, and destination charges. Price does not include applicable tax, title, license, processing and/or documentation fees, dealer add-ons, and destination charges. This is a Certified Pre-Owned vehicle. This vehicle has a 3.5L V6 engine and an automatic transmission. It includes Conventional Spare Tire, Pass-Through Rear Seat, Fourth Passenger Door, Rear Defrost, 4-Wheel ABS, A/C, Multi-Zone A/C, Rear Head Air Bag, Running Boards/Side Steps, Tonneau Cover, Entertainment System, Bluetooth Connection, Trip Computer, Front Tow Hooks, Transmission w/Dual Shift Mode, Front Reading Lamps, Adjustable Pedals, Passenger Illuminated Visor Mirror, Passenger Vanity Mirror, Woodgrain Interior Trim, Vehicle Anti-Theft System, Variable Speed Intermittent Wipers, Intermittent Wipers, Power Windows, IPod Connectivity, HomeLink, Tinted Windows, Tire Pressure Monitor, Tow Hitch, Driver Vanity Mirror, Auxiliary Pwr Outlet, Privacy Glass, Heated Exterior Driver Mirror, Aluminum Wheels, Tires - Rear All-Terrain, Tires - Front All-Terrain, Leather Seats, Power Passenger Seat, Power Driver Mirror, Four Wheel Drive, Third Passenger Door, Cruise Control, 4-Wheel Disc Brakes, AM/FM Stereo, Front Side Air Bag, Bucket Seats, Power Tilt/Sliding Sunroof, Turbocharged, CD Changer, Back-Up Camera, Trailer Brake Control, Certified Used Car, Rear Bench Seat, Navigation from Telematics, Stability Control, Telematics, Sliding Rear Window, Passenger Air Bag, Driver Air Bag, Bed Liner, Rear Parking Aid, Gasoline Fuel, Satellite Radio, Traction Control, Adjustable Steering Wheel, Power Steering, Power Driver Seat, Heated Mirrors, Power Door Locks, Keyless Entry, CD Player, Climate Control, Front Head Air Bag, Power Folding Mirrors, Cooled Passenger Seat, Cooled Driver Seat, Auxiliary Audio Input, Flex fuel capability, Transmission Overdrive Switch, Leather Steering Wheel, Seat Memory, Rear Reading Lamp>
            
        
        
            
                    DisclaimerPrice excludes document preparation charge.",,,"$42,227",http://images.autotrader.com/scaler/300/208/hn/7a40c3a0275448b890792a558e207f07.jpg,PALE,,,"10120 miles
            ",,,"$42,227",,,"Team Ford Lincoln",1-877-749-1655,,,"6 Speed Automatic",1FTFW1ET0CFB55490,
,,"Certified 2011 Ford F150 4x4 SuperCrew Platinum",,"5445 Drexel Rd","Las Vegas",USA,,NV,89130,truck,WHITE,new,1423919744,usd,1-877-749-1655,"Options Installed
        
        
            4-Wheel ABS
            
        
                
                
            
            
        
            4-Wheel Disc Brakes
            
        
                
                
            
            
        
            A/C
            
        
                
                
            
            
        
            AM/FM Stereo
            
        
                
                
            
            
        
            Adjustable Pedals
            
        
                
                
            
            
        
            Adjustable Steering Wheel
            
        
                
                
            
            
        
            Aluminum Wheels
            
        
                
                
            
            
        
            Auto-Dimming Rearview Mirror
            
        
                
                
            
            
        
            Auto-Off Headlights
            
        
                
                
            
            
        
            Auto-On Headlights
            
        
                
                
            
            
        
            Auxiliary Audio Input
            
        
                
                
            
            
        
            Auxiliary Pwr Outlet
            
        
                
                
            
            
        
            Back-Up Camera
            
        
                
                
            
            
        
            Bluetooth Audio
            
        
                
                
            
            
        
            Bluetooth Connection
            
        
                
                
            
            
        
            Bucket Seats
            
        
                
                
            
            
        
            CD Player
            
        
                
                
            
            
        
            Certified Used Car
            
        
                
                
            
            
        
            Child Safety Locks
            
        
                
                
            
            
        
            Climate Control
            
        
                
                
            
            
        
            Conventional Spare Tire
            
        
                
                
            
            
        
            Cooled Driver Seat
            
        
                
                
            
            
        
            Cooled Passenger Seat
            
        
                
                
            
            
        
            Cruise Control
            
        
                
                
            
            
        
            Driver Air Bag
            
        
                
                
            
            
        
            Driver Illuminated Vanity Mirror
            
        
                
                
            
            
        
            Driver Vanity Mirror
            
        
                
                
            
            
        
            Flex fuel capability
            
        
                
                
            
            
        
            Fog Lamps
            
        
                
                
            
            
        
            Four Wheel Drive
            
        
                
                
            
            
        
            Fourth Passenger Door
            
        
                
                
            
            
        
            Front Head Air Bag
            
        
                
                
            
            
        
            Front Reading Lamps
            
        
                
                
            
            
        
            Front Side Air Bag
            
        
                
                
            
            
        
            Front Tow Hooks
            
        
                
                
            
            
        
            Gasoline Fuel
            
        
                
                
            
            
        
            HD Radio
            
        
                
                
            
            
        
            Hard Disk Drive Media Storage
            
        
                
                
            
            
        
            Heated Driver Seat
            
        
                
                
            
            
        
            Heated Exterior Driver Mirror
            
        
                
                
            
            
        
            Heated Exterior Passenger Mirror
            
        
                
                
            
            
        
            Heated Mirrors
            
        
                
                
            
            
        
            Heated Passenger Seat
            
        
                
                
            
            
        
            Heated Rear Seat(s)
            
        
                
                
            
            
        
            HomeLink
            
        
                
                
            
            
        
            IPod Connectivity
            
        
                
                
            
            
        
            Integrated Turn Signal Mirrors
            
        
                
                
            
            
        
            Intermittent Wipers
            
        
                
                
            
            
        
            Keyless Entry
            
        
                
                
            
            
        
            Leather Seats
            
        
                
                
            
            
        
            Leather Steering Wheel
            
        
                
                
            
            
        
            MP3 Player
            
        
                
                
            
            
        
            Mirror Memory
            
        
                
                
            
            
        
            Multi-Zone A/C
            
        
                
                
            
            
        
            Navigation System
            
        
                
                
            
            
        
            Navigation from Telematics
            
        
                
                
            
            
        
            Pass-Through Rear Seat
            
        
                
                
            
            
        
            Passenger Air Bag
            
        
                
                
            
            
        
            Passenger Air Bag On/off Switch
            
        
                
                
            
            
        
            Passenger Illuminated Visor Mirror
            
        
                
                
            
            
        
            Passenger Vanity Mirror
            
        
                
                
            
            
        
            Power Door Locks
            
        
                
                
            
            
        
            Power Driver Mirror
            
        
                
                
            
            
        
            Power Driver Seat
            
        
                
                
            
            
        
            Power Folding Mirrors
            
        
                
                
            
            
        
            Power Passenger Mirror
            
        
                
                
            
            
        
            Power Passenger Seat
            
        
                
                
            
            
        
            Power Retractable Running Boards
            
        
                
                
            
            
        
            Power Steering
            
        
                
                
            
            
        
            Power Tilt/Sliding Sunroof
            
        
                
                
            
            
        
            Power Windows
            
        
                
                
            
            
        
            Premium Sound System
            
        
                
                
            
            
        
            Privacy Glass
            
        
                
                
            
            
        
            Rain Sensing Wipers
            
        
                
                
            
            
        
            Rear Bench Seat
            
        
                
                
            
            
        
            Rear Defrost
            
        
                
                
            
            
        
            Rear Head Air Bag
            
        
                
                
            
            
        
            Rear Parking Aid
            
        
                
                
            
            
        
            Rear Reading Lamps
            
        
                
                
            
            
        
            Remote Engine Start
            
        
                
                
            
            
        
            Running Boards/Side Steps
            
        
                
                
            
            
        
            Satellite Radio
            
        
                
                
            
            
        
            Seat Memory
            
        
                
                
            
            
        
            Sliding Rear Window
            
        
                
                
            
            
        
            Sony Sound
            
        
                
                
            
            
        
            Stability Control
            
        
                
                
            
            
        
            Steering Wheel Audio Controls
            
        
                
                
            
            
        
            Sync
            
        
                
                
            
            
        
            Telematics
            
        
                
                
            
            
        
            Third Passenger Door
            
        
                
                
            
            
        
            Tinted Windows
            
        
                
                
            
            
        
            Tire Pressure Monitor
            
        
                
                
            
            
        
            Tires - Front Performance
            
        
                
                
            
            
        
            Tires - Rear Performance
            
        
                
                
            
            
        
            Tow Hitch
            
        
                
                
            
            
        
            Traction Control
            
        
                
                
            
            
        
            Trailer Brake Control
            
        
                
                
            
            
        
            Transmission Overdrive Switch
            
        
                
                
            
            
        
            Transmission w/Dual Shift Mode
            
        
                
                
            
            
        
            Trip Computer
            
        
                
                
            
            
        
            Turbocharged
            
        
                
                
            
            
        
            Universal Garage Door Opener
            
        
                
                
            
            
        
            Variable Speed Intermittent Wipers
            
        
                
                
            
            
        
            Vehicle Anti-Theft System
            
        
                
                
            
            
        
            Woodgrain Interior Trim
            
        
                
                
            
        
        
        
            
                    Seller's DescriptionPrice does not include applicable tax, title, license, processing and/or documentation fees, dealer add-ons, and destination charges. Price does not include applicable tax, title, license, processing and/or documentation fees, dealer add-ons, and destination charges. This is a Certified Pre-Owned vehicle. This vehicle has a 3.5L V6 engine and an automatic transmission. It includes Trailer Brake Control, Tinted Windows, Bluetooth Audio, IPod Connectivity, Cooled Driver Seat, Bluetooth Connection, Sliding Rear Window, Universal Garage Door Opener, Trip Computer, Transmission w/Dual Shift Mode, Rear Reading Lamps, Rear Parking Aid, Passenger Illuminated Visor Mirror, MP3 Player, Satellite Radio, Traction Control, Power Steering, Pass-Through Rear Seat, Power Driver Mirror, Four Wheel Drive, Fourth Passenger Door, 4-Wheel ABS, CD Player, A/C, Multi-Zone A/C, Climate Control, Passenger Air Bag On/off Switch, Driver Air Bag, Hard Disk Drive Media Storage, Driver Illuminated Vanity Mirror, Woodgrain Interior Trim, Auto-Off Headlights, Auxiliary Pwr Outlet, Privacy Glass, Heated Driver Seat, Certified Used Car, Variable Speed Intermittent Wipers, Premium Sound System, Adjustable Steering Wheel, Leather Seats, Heated Mirrors, Keyless Entry, Third Passenger Door, 4-Wheel Disc Brakes, Rear Head Air Bag, Front Head Air Bag, Front Side Air Bag, Passenger Air Bag, Power Tilt/Sliding Sunroof, Navigation System, Gasoline Fuel, Turbocharged, Sony Sound, Sync, Power Folding Mirrors, Cooled Passenger Seat, Heated Rear Seat(s), Auxiliary Audio Input, Stability Control, Back-Up Camera, Front Tow Hooks, Tow Hitch, Adjustable Pedals, Mirror Memory, Auto-Dimming Rearview Mirror, Vehicle Anti-Theft System, Rear Bench Seat, Power Retractable Running Boards, Navigation from Telematics, Remote Engine Start, Flex fuel capability, Telematics, Tire Pressure Monitor, Transmission Overdrive Switch, Leather Steering Wheel, Seat Memory, Front Reading Lamps, Passenger Vanity Mirror, Driver Vanity Mir>
            
        
        
            
                    DisclaimerPrice excludes document preparation charge.",,,"$40,950",http://images.autotrader.com/scaler/300/208/hn/451dfeef299e49e6ac951213739c929d.jpg,STEEL,,,"46219 miles
            ",,,"$40,950",,,"Team Ford Lincoln",1-877-749-1655,,,"6 Speed Automatic",1FTFW1ET6BFD32025,
